INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER
Theft from Motor Vehicle,12700 113A AVE,1,2019,19-3893
Theft from Motor Vehicle,13000 106A AVE,1,2019,19-4294
Theft from Motor Vehicle,12700 110TH AVE,1,2019,19-4323
Theft from Motor Vehicle,13400 102ND AVE,1,2019,19-4534
Theft from Motor Vehicle,132ND ST / 100TH AVE,1,2019,19-4755
Theft from Motor Vehicle,13400 96TH AVE,1,2019,19-4766
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-4830
Theft from Motor Vehicle,137A ST / UNSIGNED ST,1,2019,19-5191
Theft from Motor Vehicle,12800 96TH AVE,1,2019,19-5295
Theft from Motor Vehicle,10300 KING GEORGE BLVD,1,2019,19-5437
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-5568
Theft from Motor Vehicle,9800 133A ST,1,2019,19-5582
Theft from Motor Vehicle,13900 LAUREL DR,1,2019,19-5772
Theft from Motor Vehicle,13700 96TH AVE,1,2019,19-6003
Theft from Motor Vehicle,10700 UNIVERSITY DR,1,2019,19-6039
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-6170
Theft from Motor Vehicle,100A AVE / 132A ST,1,2019,19-6243
Theft from Motor Vehicle,120A ST / 93A AVE,1,2019,19-6282
Theft from Motor Vehicle,10000 WHALLEY BLVD,1,2019,19-6402
Theft from Motor Vehicle,10600 SCOTT RD,1,2019,19-6426
Theft from Motor Vehicle,9700 KING GEORGE BLVD,1,2019,19-6572
Theft from Motor Vehicle,111TH AVE / 131A ST,1,2019,19-6743
Theft from Motor Vehicle,13800 102ND AVE,1,2019,19-6819
Theft from Motor Vehicle,13700 102ND AVE,1,2019,19-6828
Theft from Motor Vehicle,13100 HUNTLEY AVE,1,2019,19-6846
Theft from Motor Vehicle,12600 CENTRE DR,1,2019,19-6890
Theft from Motor Vehicle,11900 RIVER RD,1,2019,19-6892
Theft from Motor Vehicle,11100 124TH ST,1,2019,19-6916
Theft from Motor Vehicle,10700 DYKE RD,1,2019,19-7101
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-7166
Theft from Motor Vehicle,12000 92A AVE,1,2019,19-7319
Theft from Motor Vehicle,12500 110TH AVE,1,2019,19-7371
Theft from Motor Vehicle,10500 138A ST,1,2019,19-7468
Theft from Motor Vehicle,11300 BRIDGEVIEW DR,1,2019,19-7469
Theft from Motor Vehicle,13900 LAUREL DR,1,2019,19-7613
