INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER
Break and Enter - Business,15300 20TH AVE,1,2020,20-2798
Break and Enter - Business,STAYTE RD / MARINE DR,1,2020,20-7492
Break and Enter - Business,15900 26TH AVE,1,2020,20-8069
Break and Enter - Business,3400 191ST ST,1,2020,20-9875
Break and Enter - Business,3500 190TH ST,1,2020,20-9898
Break and Enter - Business,2600 156TH ST,1,2020,20-12637
Break and Enter - Business,3000 192ND ST,1,2020,20-12837
Break and Enter - Business,2400 161A ST,1,2020,20-13148
Break and Enter - Business,14600 16TH AVE,1,2020,20-13751
Break and Enter - Business,1900 152ND ST,1,2020,20-14824
Break and Enter - Business,15300 31ST AVE,1,2020,20-15369
Break and Enter - Business,3700 190TH ST,1,2020,20-15881
Break and Enter - Residence,16700 24TH AVE,1,2020,20-742
Break and Enter - Residence,17300 26TH AVE,1,2020,20-1849
Break and Enter - Residence,15700 WILLS BROOK WAY,1,2020,20-2825
Break and Enter - Residence,16300 23A AVE,1,2020,20-3737
Break and Enter - Residence,13900 32ND AVE,1,2020,20-5307
Break and Enter - Residence,1600 140TH ST,1,2020,20-5460
Break and Enter - Residence,1800 145TH ST,1,2020,20-5781
Break and Enter - Residence,1800 AMBLE GREENE BLVD,1,2020,20-6058
Break and Enter - Residence,2600 144TH ST,1,2020,20-6845
Break and Enter - Residence,14800 17TH AVE,1,2020,20-7069
Break and Enter - Residence,15000 20TH AVE,1,2020,20-7628
Break and Enter - Residence,3600 DEVONSHIRE DR,1,2020,20-7974
Break and Enter - Residence,14200 20TH AVE,1,2020,20-8478
Break and Enter - Residence,14000 27A AVE,1,2020,20-8574
Break and Enter - Residence,3500 194TH ST,1,2020,20-8739
Break and Enter - Residence,15900 26TH AVE,1,2020,20-9122
Break and Enter - Residence,3500 194TH ST,1,2020,20-10468
Break and Enter - Residence,17100 0A AVE,1,2020,20-11092
Break and Enter - Residence,15500 ROSEMARY HEIGHTS CRES,1,2020,20-10662
Break and Enter - Residence,14300 26TH AVE,1,2020,20-11488
Break and Enter - Residence,1800 128A ST,1,2020,20-11772
Break and Enter - Residence,16300 23A AVE,1,2020,20-11991
Break and Enter - Residence,13300 26TH AVE,1,2020,20-12033
Break and Enter - Residence,16000 16TH AVE,1,2020,20-12317
Break and Enter - Residence,2600 141ST ST,1,2020,20-13356
Break and Enter - Residence,2200 133A ST,1,2020,20-13692
Break and Enter - Residence,13100 CRESCENT RD,1,2020,20-13782
Break and Enter - Residence,1700 142ND ST,1,2020,20-13938
Break and Enter - Residence,1900 169TH ST,1,2020,20-14175
Break and Enter - Residence,17400 16TH AVE,1,2020,20-15012
Break and Enter - Residence,17500 20TH AVE,1,2020,20-15329
Break and Enter - Residence,14100 25A AVE,1,2020,20-16182
Break and Enter - Residence,16900 23RD AVE,1,2020,20-17617
Break and Enter - Residence,2500 141ST ST,1,2020,20-18691
Theft from Motor Vehicle,12800 92A AVE,1,2020,20-8155
Theft from Motor Vehicle,13700 105A AVE,1,2020,20-10394
Theft from Motor Vehicle,10300 SCOTT RD,1,2020,20-14811
Theft from Motor Vehicle,15500 96B AVE,1,2020,20-1996
Theft from Motor Vehicle,10700 142A ST,1,2020,20-7996
Theft from Motor Vehicle,10700 GUILDFORD DR,1,2020,20-10118
Theft of Motor Vehicle,10000 122ND ST,1,2020,20-504
Theft of Motor Vehicle,112TH AVE / 124TH ST,1,2020,20-3430
Theft of Motor Vehicle,13000 92ND AVE,1,2020,20-3725
Theft of Motor Vehicle,13000 95TH AVE,1,2020,20-4885
Theft of Motor Vehicle,8800 LAUDER DR,1,2020,20-7017
Theft of Motor Vehicle,13300 105TH AVE,1,2020,20-7625
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-8038
Theft of Motor Vehicle,9400 KING GEORGE BLVD,1,2020,20-8065
Theft of Motor Vehicle,10600 138TH ST,1,2020,20-12292
Theft of Motor Vehicle,13700 96TH AVE,1,2020,20-12697
Theft of Motor Vehicle,122ND ST / 95TH AVE,1,2020,20-13260
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-15416
Theft of Motor Vehicle,12300 91ST AVE,1,2020,20-15893
Theft of Motor Vehicle,13200 108TH AVE,1,2020,20-8292
Theft of Motor Vehicle,10600 138TH ST,1,2020,20-13664
Theft of Motor Vehicle,12500 116TH AVE,1,2020,20-7639
Theft of Motor Vehicle,12500 113B AVE,1,2020,20-8997
Theft of Motor Vehicle,13400 KING GEORGE BLVD,1,2020,20-1247
Theft of Motor Vehicle,13800 100TH AVE,1,2020,20-1927
Theft of Motor Vehicle,9600 137TH ST,1,2020,20-2905
Theft of Motor Vehicle,10600 WHALLEY BLVD,1,2020,20-3056
Theft of Motor Vehicle,140TH ST / 104TH AVE,1,2020,20-3336
Theft of Motor Vehicle,11100 135A ST,1,2020,20-3507
Theft of Motor Vehicle,12600 90A AVE,1,2020,20-3750
Theft of Motor Vehicle,12600 112A AVE,1,2020,20-5125
Theft of Motor Vehicle,13000 96TH AVE,1,2020,20-5217
Theft of Motor Vehicle,10200 CITY PKWY,1,2020,20-5248
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-5391
Theft of Motor Vehicle,9100 138A ST,1,2020,20-5444
Theft of Motor Vehicle,13000 112TH AVE,1,2020,20-6588
Theft of Motor Vehicle,90TH AVE / 144TH ST,1,2020,20-6847
Theft of Motor Vehicle,127TH ST / 104A AVE,1,2020,20-7618
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-8561
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-8594
Theft of Motor Vehicle,14100 89B AVE,1,2020,20-10463
Theft of Motor Vehicle,12400 113TH AVE,1,2020,20-11542
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-11679
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-12413
Theft of Motor Vehicle,96TH AVE / KING GEORGE BLVD,1,2020,20-12453
Theft of Motor Vehicle,12100 MUSQUEAM DR,1,2020,20-13766
Theft of Motor Vehicle,10000 128A ST,1,2020,20-14202
Theft of Motor Vehicle,129TH ST / 115B AVE,1,2020,20-14204
Theft of Motor Vehicle,10200 125TH ST,1,2020,20-14267
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-14457
Theft of Motor Vehicle,13400 CENTRAL AVE,1,2020,20-14485
Theft of Motor Vehicle,13200 100TH AVE,1,2020,20-15293
Theft of Motor Vehicle,12500 106A AVE,1,2020,20-15359
Theft of Motor Vehicle,13300 104TH AVE,1,2020,20-15599
Theft of Motor Vehicle,12500 110TH AVE,1,2020,20-15613
Theft of Motor Vehicle,11100 124TH ST,1,2020,20-15658
Theft of Motor Vehicle,11100 SCOTT RD,1,2020,20-1173
Theft of Motor Vehicle,12700 114TH AVE,1,2020,20-3179
Theft of Motor Vehicle,9000 139TH ST,1,2020,20-5494
Theft of Motor Vehicle,11900 OLD YALE RD,1,2020,20-1708
Theft of Motor Vehicle,13800 GROSVENOR RD,1,2020,20-10465
Theft of Motor Vehicle,12800 105A AVE,1,2020,20-3384
Theft of Motor Vehicle,10000 PARK DR,1,2020,20-10790
Theft of Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-15426
Theft of Motor Vehicle,15200 93A AVE,1,2020,20-3312
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-4360
Theft of Motor Vehicle,160TH ST / 103RD AVE,1,2020,20-5124
Theft of Motor Vehicle,14600 105A AVE,1,2020,20-7042
Theft of Motor Vehicle,14900 100TH AVE,1,2020,20-7981
Theft of Motor Vehicle,8400 151A ST,1,2020,20-11501
Theft of Motor Vehicle,9600 155TH ST,1,2020,20-13191
Theft of Motor Vehicle,15900 84TH AVE,1,2020,20-14384
Theft of Motor Vehicle,15400 110A AVE,1,2020,20-14723
Theft of Motor Vehicle,15700 98TH AVE,1,2020,20-9048
Theft of Motor Vehicle,8600 150TH ST,1,2020,20-8913
Theft of Motor Vehicle,14000 113A AVE,1,2020,20-5767
Theft of Motor Vehicle,11300 141A ST,1,2020,20-9019
Theft of Motor Vehicle,14900 FRASER HWY,1,2020,20-1893
Theft of Motor Vehicle,9200 148A ST,1,2020,20-2695
Theft of Motor Vehicle,15400 94TH AVE,1,2020,20-2724
Theft of Motor Vehicle,146TH ST / 110A AVE,1,2020,20-3221
Theft of Motor Vehicle,10400 150TH ST,1,2020,20-3860
Theft of Motor Vehicle,14800 101A AVE,1,2020,20-5665
Theft of Motor Vehicle,15500 FRASER HWY,1,2020,20-6988
Theft of Motor Vehicle,15400 BLOCK 91ST AVE,1,2020,20-7023
Theft of Motor Vehicle,15200 TRANS CANADA HWY,1,2020,20-8388
Theft of Motor Vehicle,14100 108TH AVE,1,2020,20-9494
Theft of Motor Vehicle,10400 155TH ST,1,2020,20-10315
Theft of Motor Vehicle,15600 82ND AVE,1,2020,20-10607
Theft of Motor Vehicle,15400 85TH AVE,1,2020,20-10998
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-11785
Theft of Motor Vehicle,10700 150TH ST,1,2020,20-12222
Theft of Motor Vehicle,8300 155A ST,1,2020,20-14189
Theft of Motor Vehicle,15500 84TH AVE,1,2020,20-15234
Theft of Motor Vehicle,101ST AVE / 153RD ST,1,2020,20-15272
Theft of Motor Vehicle,GUILDFORD TOWN CNTR / MALL ACCESS,1,2020,20-15318
Theft of Motor Vehicle,14300 114TH AVE,1,2020,20-15323
Theft of Motor Vehicle,9300 152ND ST,1,2020,20-15799
Theft of Motor Vehicle,15500 89A AVE,1,2020,20-15912
Theft of Motor Vehicle,10300 152ND ST,1,2020,20-2449
Theft of Motor Vehicle,10300 152ND ST,1,2020,20-2836
Theft of Motor Vehicle,11300 GLEN AVON DR,1,2020,20-3186
Theft of Motor Vehicle,10300 145A ST,1,2020,20-15454
Theft of Motor Vehicle,14900 102A AVE,1,2020,20-8989
Theft of Motor Vehicle,103A AVE / 142ND ST,1,2020,20-13427
Theft of Motor Vehicle,13000 57B AVE,1,2020,20-1135
Theft of Motor Vehicle,12000 NEW MCLELLAN RD,1,2020,20-1780
Theft of Motor Vehicle,7900 KING GEORGE BLVD,1,2020,20-2834
Theft of Motor Vehicle,6200 142B ST,1,2020,20-3920
Theft of Motor Vehicle,7000 144B ST,1,2020,20-7535
Theft of Motor Vehicle,150TH ST / 58A AVE,1,2020,20-8469
Theft of Motor Vehicle,14200 86TH AVE,1,2020,20-8516
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-13248
Theft of Motor Vehicle,12400 82ND AVE,1,2020,20-14394
Theft of Motor Vehicle,14900 59A AVE,1,2020,20-15884
Theft of Motor Vehicle,7100 136B ST,1,2020,20-16267
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-11688
Theft of Motor Vehicle,14800 57A AVE,1,2020,20-15805
Theft of Motor Vehicle,7500 129A ST,1,2020,20-2730
Theft of Motor Vehicle,14000 73RD AVE,1,2020,20-3216
Theft of Motor Vehicle,8300 133A ST,1,2020,20-3223
Theft of Motor Vehicle,12400 64TH AVE,1,2020,20-4280
Theft of Motor Vehicle,12700 80TH AVE,1,2020,20-9853
Theft of Motor Vehicle,14700 64TH AVE,1,2020,20-641
Theft of Motor Vehicle,5700 133RD ST,1,2020,20-7651
Theft of Motor Vehicle,12300 83A AVE,1,2020,20-967
Theft of Motor Vehicle,75A AVE / 144A ST,1,2020,20-4307
Theft of Motor Vehicle,8400 141A ST,1,2020,20-9497
Theft of Motor Vehicle,13700 72ND AVE,1,2020,20-11214
Theft of Motor Vehicle,13400 72ND AVE,1,2020,20-13770
Theft of Motor Vehicle,13500 88TH AVE,1,2020,20-14158
Theft of Motor Vehicle,13300 61A AVE,1,2020,20-14776
Theft of Motor Vehicle,134TH ST / 70B AVE,1,2020,20-15448
Theft of Motor Vehicle,7200 145A ST,1,2020,20-15861
Theft of Motor Vehicle,5900 131A ST,1,2020,20-16882
Theft of Motor Vehicle,15300 67TH AVE,1,2020,20-15982
Theft of Motor Vehicle,14300 HAWKSTREAM DR,1,2020,20-2939
Theft of Motor Vehicle,6000 145A ST,1,2020,20-14797
Theft of Motor Vehicle,18700 88TH AVE,1,2020,20-3143
Theft of Motor Vehicle,7100 177A ST,1,2020,20-5097
Theft of Motor Vehicle,18500 53RD AVE,1,2020,20-5654
Theft of Motor Vehicle,6400 184A ST,1,2020,20-6412
Theft of Motor Vehicle,6400 195A ST,1,2020,20-7734
Theft of Motor Vehicle,17700 60TH AVE,1,2020,20-8454
Theft of Motor Vehicle,59A AVE / 177B ST,1,2020,20-9002
Theft of Motor Vehicle,177A ST / 101ST AVE,1,2020,20-9161
Theft of Motor Vehicle,16500 59A AVE,1,2020,20-12054
Theft of Motor Vehicle,5800 177B ST,1,2020,20-13241
Theft of Motor Vehicle,6000 MORGAN DR,1,2020,20-14742
Theft of Motor Vehicle,16700 63B AVE,1,2020,20-10407
Theft of Motor Vehicle,9500 192ND ST,1,2020,20-4339
Theft of Motor Vehicle,6000 189TH ST,1,2020,20-7502
Theft of Motor Vehicle,17500 64TH AVE,1,2020,20-10462
Theft of Motor Vehicle,19200 68A AVE,1,2020,20-10959
Theft of Motor Vehicle,9800 181ST ST,1,2020,20-11085
Theft of Motor Vehicle,9800 181ST ST,1,2020,20-11085
Theft of Motor Vehicle,176TH ST OFRP / TRANS CANADA HWY,1,2020,20-971
Theft of Motor Vehicle,19000 72A AVE,1,2020,20-1719
Theft of Motor Vehicle,5800 177B ST,1,2020,20-6179
Theft of Motor Vehicle,7100 189TH ST,1,2020,20-8495
Theft of Motor Vehicle,19400 63A AVE,1,2020,20-8718
Theft of Motor Vehicle,18900 70B AVE,1,2020,20-11121
Theft of Motor Vehicle,6100 SUNDANCE DR,1,2020,20-14203
Theft of Motor Vehicle,94TH AVE / 190TH ST,1,2020,20-16208
Theft of Motor Vehicle,186TH ST / 60TH AVE,1,2020,20-17660
Theft of Motor Vehicle,18700 68TH AVE,1,2020,20-3141
Theft of Motor Vehicle,168TH ST / 60TH AVE,1,2020,20-9847
Theft of Motor Vehicle,5900 177B ST,1,2020,20-14377
Theft of Motor Vehicle,18600 57TH AVE,1,2020,20-16783
Theft of Motor Vehicle,18800 52ND AVE,1,2020,20-2921
Theft of Motor Vehicle,17700 58A AVE,1,2020,20-10002
Theft of Motor Vehicle,16000 14TH AVE,1,2020,20-2676
Theft of Motor Vehicle,2800 MCKENZIE AVE,1,2020,20-8459
Theft of Motor Vehicle,15500 BLOCK ROSEMARY HEIGHTS CRES,1,2020,20-10621
Theft of Motor Vehicle,15800 24TH AVE,1,2020,20-13704
Theft of Motor Vehicle,16400 18TH AVE,1,2020,20-13706
Theft of Motor Vehicle,14900 24A AVE,1,2020,20-13712
Theft of Motor Vehicle,3100 184TH ST,1,2020,20-16378
Theft of Motor Vehicle,16300 23A AVE,1,2020,20-3737
Theft of Motor Vehicle,1600 140TH ST,1,2020,20-5460
Theft of Motor Vehicle,14300 26TH AVE,1,2020,20-11488
Theft of Motor Vehicle,16300 23A AVE,1,2020,20-11991
Theft of Motor Vehicle,3600 DEVONSHIRE DR,1,2020,20-7974
Theft of Motor Vehicle,15400 48TH AVE,1,2020,20-12392
Theft of Motor Vehicle,15200 34TH AVE,1,2020,20-3761
Theft of Motor Vehicle,3100 141ST ST,1,2020,20-5446
Theft of Motor Vehicle,2300 160TH ST,1,2020,20-6209
Theft of Motor Vehicle,2800 128TH ST,1,2020,20-9565
Theft of Motor Vehicle,17100 24TH AVE,1,2020,20-3717
Theft of Motor Vehicle,2600 156TH ST,1,2020,20-12637
Theft of Motor Vehicle,1700 AMBLE GREENE DR,1,2020,20-6083
Theft of Motor Vehicle,3000 160TH ST,1,2020,20-5508
Theft of Motor Vehicle,3100 184TH ST,1,2020,20-16378
Theft from Motor Vehicle,13300 CENTRAL AVE,1,2020,20-541
Theft from Motor Vehicle,12700 96A AVE,1,2020,20-607
Theft from Motor Vehicle,9100 147A ST,1,2020,20-622
Theft from Motor Vehicle,11000 136TH ST,1,2020,20-707
Theft from Motor Vehicle,KING GEORGE BLVD / 96TH AVE,1,2020,20-713
Theft from Motor Vehicle,12000 96TH AVE,1,2020,20-726
Theft from Motor Vehicle,9000 PRINCE CHARLES BLVD,1,2020,20-1112
Theft from Motor Vehicle,13000 103A AVE,1,2020,20-1164
Theft from Motor Vehicle,13100 106TH AVE,1,2020,20-1166
Theft from Motor Vehicle,13000 107A AVE,1,2020,20-1199
Theft from Motor Vehicle,12500 KING GEORGE BLVD,1,2020,20-1356
Theft from Motor Vehicle,13300 104TH AVE,1,2020,20-1392
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-1687
Theft from Motor Vehicle,9000 PRINCE CHARLES BLVD,1,2020,20-1743
Theft from Motor Vehicle,13500 113TH AVE,1,2020,20-1791
Theft from Motor Vehicle,10000 WHALLEY BLVD,1,2020,20-1833
Theft from Motor Vehicle,13600 100TH AVE,1,2020,20-800008
Theft from Motor Vehicle,9400 128TH ST,1,2020,20-2174
Theft from Motor Vehicle,9800 KING GEORGE BLVD,1,2020,20-2377
Theft from Motor Vehicle,13400 CENTRAL AVE,1,2020,20-2398
Theft from Motor Vehicle,9600 134TH ST,1,2020,20-2734
Theft from Motor Vehicle,13200 OLD YALE RD,1,2020,20-2747
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-2976
Theft from Motor Vehicle,10100 KING GEORGE BLVD,1,2020,20-3202
Theft from Motor Vehicle,13600 GROSVENOR RD,1,2020,20-3332
Theft from Motor Vehicle,10600 KING GEORGE BLVD,1,2020,20-3345
Theft from Motor Vehicle,9600 128TH ST,1,2020,20-3380
Theft from Motor Vehicle,13100 107TH AVE,1,2020,20-3437
Theft from Motor Vehicle,13400 102ND AVE,1,2020,20-3504
Theft from Motor Vehicle,8900 CRICHTON DR,1,2020,20-3569
Theft from Motor Vehicle,13700 96TH AVE,1,2020,20-3587
Theft from Motor Vehicle,10700 BLOCK 139TH ST,1,2020,20-3721
Theft from Motor Vehicle,9900 KING GEORGE BLVD,1,2020,20-3784
